Claim_ID,Food_ID,Receiver_ID,Status,Timestampss,Timestamp
1,164,908,Pending,3/5/2025 5:26,2025-03-05 05:26:00
2,353,391,Cancelled,3/11/2025 10:24,2025-03-11 10:24:00
3,626,492,Completed,3/21/2025 0:59,2025-03-21 00:59:00
4,61,933,Cancelled,3/4/2025 9:08,2025-03-04 09:08:00
5,345,229,Pending,3/14/2025 15:17,2025-03-14 15:17:00
6,273,607,Cancelled,3/2/2025 2:50,2025-03-02 02:50:00
7,735,256,Cancelled,3/7/2025 23:58,2025-03-07 23:58:00
8,382,900,Pending,3/5/2025 7:07,2025-03-05 07:07:00
9,278,807,Completed,3/18/2025 2:26,2025-03-18 02:26:00
10,669,975,Completed,3/6/2025 19:57,2025-03-06 19:57:00
11,290,118,Pending,3/4/2025 23:01,2025-03-04 23:01:00
12,694,739,Completed,3/1/2025 21:55,2025-03-01 21:55:00
13,951,959,Pending,3/8/2025 13:08,2025-03-08 13:08:00
14,426,233,Cancelled,3/8/2025 16:08,2025-03-08 16:08:00
15,684,97,Completed,3/7/2025 8:00,2025-03-07 08:00:00
16,320,836,Cancelled,3/7/2025 6:17,2025-03-07 06:17:00
17,465,588,Cancelled,3/15/2025 16:49,2025-03-15 16:49:00
18,952,729,Completed,3/9/2025 2:04,2025-03-09 02:04:00
19,798,399,Pending,3/16/2025 6:32,2025-03-16 06:32:00
20,792,88,Completed,3/7/2025 12:15,2025-03-07 12:15:00
21,281,493,Completed,3/4/2025 0:29,2025-03-04 00:29:00
22,345,757,Pending,3/9/2025 3:11,2025-03-09 03:11:00
23,674,526,Completed,3/6/2025 22:55,2025-03-06 22:55:00
24,594,717,Pending,3/15/2025 0:51,2025-03-15 00:51:00
25,371,10,Completed,3/10/2025 7:10,2025-03-10 07:10:00
26,959,233,Cancelled,3/21/2025 4:34,2025-03-21 04:34:00
27,58,487,Completed,3/17/2025 5:07,2025-03-17 05:07:00
28,586,189,Pending,3/19/2025 4:15,2025-03-19 04:15:00
29,812,769,Pending,3/14/2025 17:09,2025-03-14 17:09:00
30,193,228,Pending,3/7/2025 4:05,2025-03-07 04:05:00
31,937,546,Completed,3/3/2025 2:06,2025-03-03 02:06:00
32,624,371,Cancelled,3/17/2025 12:57,2025-03-17 12:57:00
33,905,386,Cancelled,3/16/2025 14:26,2025-03-16 14:26:00
34,713,271,Pending,3/18/2025 1:17,2025-03-18 01:17:00
35,190,93,Cancelled,3/9/2025 21:40,2025-03-09 21:40:00
36,597,562,Pending,3/16/2025 3:41,2025-03-16 03:41:00
37,832,920,Cancelled,3/13/2025 3:50,2025-03-13 03:50:00
38,757,380,Cancelled,3/18/2025 5:29,2025-03-18 05:29:00
39,58,923,Pending,3/12/2025 9:57,2025-03-12 09:57:00
40,141,789,Pending,3/10/2025 4:14,2025-03-10 04:14:00
41,415,336,Pending,3/18/2025 4:33,2025-03-18 04:33:00
42,886,256,Pending,3/7/2025 12:22,2025-03-07 12:22:00
43,611,306,Pending,3/16/2025 17:08,2025-03-16 17:08:00
44,825,31,Pending,3/9/2025 13:02,2025-03-09 13:02:00
45,457,569,Completed,3/13/2025 7:07,2025-03-13 07:07:00
46,556,412,Cancelled,3/12/2025 2:30,2025-03-12 02:30:00
47,746,48,Pending,3/7/2025 10:45,2025-03-07 10:45:00
48,895,373,Pending,3/9/2025 23:13,2025-03-09 23:13:00
49,190,678,Pending,3/20/2025 13:44,2025-03-20 13:44:00
50,251,804,Pending,3/19/2025 13:18,2025-03-19 13:18:00
51,543,255,Pending,3/4/2025 10:59,2025-03-04 10:59:00
52,507,517,Cancelled,3/15/2025 14:58,2025-03-15 14:58:00
53,37,449,Completed,3/11/2025 9:43,2025-03-11 09:43:00
54,534,737,Cancelled,3/6/2025 1:44,2025-03-06 01:44:00
55,438,601,Completed,3/9/2025 0:13,2025-03-09 00:13:00
56,690,452,Completed,3/17/2025 14:29,2025-03-17 14:29:00
57,225,295,Completed,3/11/2025 21:44,2025-03-11 21:44:00
58,258,149,Completed,3/13/2025 15:12,2025-03-13 15:12:00
59,797,371,Cancelled,3/2/2025 23:28,2025-03-02 23:28:00
60,390,391,Pending,3/16/2025 15:03,2025-03-16 15:03:00
61,990,550,Cancelled,3/8/2025 21:06,2025-03-08 21:06:00
62,258,678,Pending,3/17/2025 14:07,2025-03-17 14:07:00
63,119,279,Pending,3/8/2025 21:30,2025-03-08 21:30:00
64,771,90,Completed,3/17/2025 13:38,2025-03-17 13:38:00
65,424,532,Cancelled,3/15/2025 15:00,2025-03-15 15:00:00
66,310,730,Cancelled,3/11/2025 19:22,2025-03-11 19:22:00
67,486,817,Completed,3/17/2025 17:22,2025-03-17 17:22:00
68,526,321,Pending,3/2/2025 4:49,2025-03-02 04:49:00
69,321,45,Completed,3/10/2025 6:15,2025-03-10 06:15:00
70,203,479,Completed,3/19/2025 15:41,2025-03-19 15:41:00
71,538,897,Cancelled,3/2/2025 15:34,2025-03-02 15:34:00
72,851,44,Completed,3/4/2025 10:49,2025-03-04 10:49:00
73,708,222,Pending,3/5/2025 23:42,2025-03-05 23:42:00
74,487,62,Cancelled,3/2/2025 13:20,2025-03-02 13:20:00
75,909,161,Cancelled,3/6/2025 11:44,2025-03-06 11:44:00
76,877,185,Completed,3/13/2025 22:38,2025-03-13 22:38:00
77,65,324,Completed,3/4/2025 22:57,2025-03-04 22:57:00
78,504,151,Completed,3/15/2025 13:41,2025-03-15 13:41:00
79,188,795,Cancelled,3/3/2025 1:13,2025-03-03 01:13:00
80,153,35,Pending,3/21/2025 1:58,2025-03-21 01:58:00
81,964,876,Completed,3/3/2025 9:13,2025-03-03 09:13:00
82,641,638,Pending,3/9/2025 13:21,2025-03-09 13:21:00
83,805,695,Completed,3/18/2025 19:37,2025-03-18 19:37:00
84,925,554,Pending,3/9/2025 2:10,2025-03-09 02:10:00
85,197,624,Completed,3/1/2025 9:52,2025-03-01 09:52:00
86,790,425,Cancelled,3/2/2025 9:25,2025-03-02 09:25:00
87,829,918,Completed,3/13/2025 10:50,2025-03-13 10:50:00
88,233,310,Completed,3/3/2025 2:47,2025-03-03 02:47:00
89,912,632,Cancelled,3/5/2025 20:34,2025-03-05 20:34:00
90,378,27,Completed,3/4/2025 16:53,2025-03-04 16:53:00
91,251,373,Completed,3/18/2025 18:10,2025-03-18 18:10:00
92,136,65,Pending,3/7/2025 11:12,2025-03-07 11:12:00
93,600,129,Pending,3/16/2025 11:30,2025-03-16 11:30:00
94,505,523,Cancelled,3/19/2025 5:04,2025-03-19 05:04:00
95,673,352,Cancelled,3/11/2025 10:52,2025-03-11 10:52:00
